trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
1,57000,57000,1,1,0,0,0
1,58000,58000,2,2,0,0,0.2
1,59000,59000,3,3,0,0,0.4
1,60000,60000,4,4,0,0,0.5
1,61000,61000,5,5,0,0,0.8
2,60000,60000,1,1,0,0,0
2,60100,60100,2,2,0,0,0.2
2,60200,60200,3,3,0,0,0.4
2,60300,60300,4,4,0,0,0.5
2,60400,60400,5,5,0,0,0.8
3,61060,61060,5,1,0,0,0.0
3,62000,62000,6,2,0,0,0.1
3,63000,63000,7,3,1,0,0.2
4,60430,60430,5,1,0,0,0.0
4,60500,60500,6,2,0,0,0.1
4,60600,60600,7,3,1,0,0.2
