trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1,16:00:00,16:00:00,1,1,0,0
1,16:05:00,16:05:00,2,2,0,0
1,16:10:00,16:10:00,3,3,0,0
1,16:15:00,16:15:00,4,4,0,0
1,16:20:00,16:20:00,5,5,0,0
1,16:25:00,16:25:00,6,6,0,0
1,16:30:00,16:30:00,7,7,1,0
2,16:15:00,16:15:00,3,1,0,0
2,16:20:00,16:20:00,7,2,0,0
2,16:25:00,16:25:00,8,3,0,0
2,16:30:00,16:30:00,9,4,1,0
3,16:35:00,16:35:00,7,1,0,0
3,16:40:00,16:40:00,9,2,0,0
3,16:45:00,16:45:00,10,3,0,0
3,16:50:00,16:50:00,11,4,1,0
