ID,Time,Status,Assigned vehicle,Current location,Previous legs,Current leg,Next legs,Name
1,57000,PassengersStatus.RELEASE,None,1,[],"('1', '3')","[('3', '7')]",1
1,57000,PassengersStatus.ASSIGNED,1,1,[],"('1', '3')","[('3', '7')]",1
1,57300,PassengersStatus.READY,1,1,[],"('1', '3')","[('3', '7')]",1
4,57300,PassengersStatus.RELEASE,None,1,[],"('1', '6')",[],4
3,57300,PassengersStatus.RELEASE,None,1,[],"('1', '3')","[('3', '7'), ('7', '10')]",3
2,57300,PassengersStatus.RELEASE,None,1,[],"('1', '3')","[('3', '9')]",2
4,57300,PassengersStatus.ASSIGNED,1,1,[],"('1', '6')",[],4
3,57300,PassengersStatus.ASSIGNED,1,1,[],"('1', '3')","[('3', '7'), ('7', '10')]",3
2,57300,PassengersStatus.ASSIGNED,1,1,[],"('1', '3')","[('3', '9')]",2
4,57600,PassengersStatus.READY,1,1,[],"('1', '6')",[],4
3,57600,PassengersStatus.READY,1,1,[],"('1', '3')","[('3', '7'), ('7', '10')]",3
2,57600,PassengersStatus.READY,1,1,[],"('1', '3')","[('3', '9')]",2
1,57600,PassengersStatus.ONBOARD,1,3,[],"('1', '3')","[('3', '7')]",1
4,57600,PassengersStatus.ONBOARD,1,None,[],"('1', '6')",[],4
3,57600,PassengersStatus.ONBOARD,1,3,[],"('1', '3')","[('3', '7'), ('7', '10')]",3
2,57600,PassengersStatus.ONBOARD,1,3,[],"('1', '3')","[('3', '9')]",2
1,58290,PassengersStatus.RELEASE,None,3,"[('1', '3')]","('3', '7')",[],1
3,58290,PassengersStatus.RELEASE,None,3,"[('1', '3')]","('3', '7')","[('7', '10')]",3
2,58290,PassengersStatus.RELEASE,None,3,"[('1', '3')]","('3', '9')",[],2
1,58290,PassengersStatus.ASSIGNED,2,3,"[('1', '3')]","('3', '7')",[],1
1,58290,PassengersStatus.READY,2,3,"[('1', '3')]","('3', '7')",[],1
3,58290,PassengersStatus.ASSIGNED,2,3,"[('1', '3')]","('3', '7')","[('7', '10')]",3
3,58290,PassengersStatus.READY,2,3,"[('1', '3')]","('3', '7')","[('7', '10')]",3
2,58290,PassengersStatus.ASSIGNED,2,3,"[('1', '3')]","('3', '9')",[],2
2,58290,PassengersStatus.READY,2,3,"[('1', '3')]","('3', '9')",[],2
1,58500,PassengersStatus.ONBOARD,2,3,"[('1', '3')]","('3', '7')",[],1
3,58500,PassengersStatus.ONBOARD,2,7,"[('1', '3')]","('3', '7')","[('7', '10')]",3
2,58500,PassengersStatus.ONBOARD,2,3,"[('1', '3')]","('3', '9')",[],2
1,58900,PassengersStatus.COMPLETE,None,3,"[('1', '3'), ('3', '7')]",,[],1
3,58900,PassengersStatus.RELEASE,None,7,"[('1', '3'), ('3', '7')]","('7', '10')",[],3
3,58900,PassengersStatus.ASSIGNED,3,7,"[('1', '3'), ('3', '7')]","('7', '10')",[],3
3,58900,PassengersStatus.READY,3,7,"[('1', '3'), ('3', '7')]","('7', '10')",[],3
5,59090,PassengersStatus.RELEASE,None,8,[],"('8', '11')",[],5
5,59090,PassengersStatus.ASSIGNED,2,8,[],"('8', '11')",[],5
5,59100,PassengersStatus.READY,2,8,[],"('8', '11')",[],5
4,59250,PassengersStatus.COMPLETE,None,6,"[('1', '6')]",,[],4
5,59300,PassengersStatus.ONBOARD,2,None,[],"('8', '11')",[],5
2,59620,PassengersStatus.COMPLETE,None,3,"[('1', '3'), ('3', '9')]",,[],2
3,59700,PassengersStatus.ONBOARD,3,3,"[('1', '3'), ('3', '7')]","('7', '10')",[],3
5,59940,PassengersStatus.COMPLETE,None,11,"[('8', '11')]",,[],5
3,60340,PassengersStatus.COMPLETE,None,3,"[('1', '3'), ('3', '7'), ('7', '10')]",,[],3
